pmid,relations
38084139,MESH:D002294!TCF21!0.9865!Association;MESH:D002294!HSPB7!0.9723!Association;MESH:D002294!AOC3!0.9556!Association;MESH:D002294!RASL12!0.9917!Association;MESH:D002294!AKT1!0.9975!Association;MESH:D002294!MEOX2!0.9941!Association
38311725,MESH:D001943!SCARNA4!0.7922!Association;MESH:D001943!SNORD49B!0.915!Positive_Correlation;MESH:D009369!SNORD16!0.9609!Association;MESH:D001943!SNORA73B!0.7678!Positive_Correlation;MESH:D001943!SNORD16!0.9751!Positive_Correlation;MESH:D009369!SCARNA4!0.9928!Association;MESH:D009369!SNORA73B!0.9902!Association;MESH:D009369!SNORD49B!0.9843!Association
38370373,MESH:D005910!PINK1!0.9757!Association;MESH:D005910!PRKN!0.9858!Association;MESH:D005910!FAM72A!0.9997!Association
38504531,MESH:D012516!TNFSF10!0.7095!Negative_Correlation;MESH:D012516!CTNNB1!0.9997!Association
39262488,MESH:D006528!DPH2!0.7635!Positive_Correlation;MESH:D006528!DPH3!0.6542!Association
39342985,MESH:D015535!SPRR2E!0.9992!Association;MESH:D015535!ZFP36!0.9996!Association
39344312,OMIM:616834!WTAP!0.9971!Association;OMIM:616834!FTO!0.9991!Association;MESH:D011565!CCDC102A!0.9992!Association;OMIM:616834!METTL14!0.9997!Association;MESH:D011565!MTCL1!0.9994!Association;MESH:D011565!SNTB1!0.999!Association;MESH:D011565!EEF2K!0.9991!Association;MESH:D011565!CGNL1!0.9978!Association;MESH:D011565!NEU2!0.9865!Association;MESH:D011565!RNF150!0.9719!Association;MESH:D011565!CCDC85A!0.9928!Association;MESH:D011565!DACH1!0.9933!Association;OMIM:616834!METTL3!0.9996!Association;MESH:D011565!MEOX2!0.9989!Association;MESH:D011565!GALNT6!0.999!Association;MESH:D011565!DOC2B!0.9995!Association;MESH:D011565!CAMK2N1!0.998!Association;MESH:D024821!CAMK2N1!0.9012!Association;MESH:D011565!SLC46A2!0.9931!Association;MESH:D011565!OBSCN!0.9992!Association;OMIM:616834!ALKBH5!0.9994!Association
39394138,MESH:D004827!TARS2!0.9992!Association;MESH:D001927!TARS2!0.9972!Association;MESH:D011596!TARS2!0.9711!Association;OMIM:615918!TARS2!0.9996!Association;MESH:D008599!TARS2!0.9992!Association;MESH:D017237!TARS2!0.9996!Association;MESH:D000013!TARS2!0.9994!Association
39397154,MESH:D015179!FAM135B!0.9994!Association;MESH:D015179!SRSF1!0.9997!Association
39408819,MESH:D008881!MIR375!0.9995!Association;MESH:D008881!MIR195!0.9996!Association;MESH:D008881!MIR340!0.999!Association;MESH:D008881!MIR197!0.9994!Association;MESH:D008881!MIR146B!0.9991!Association;MESH:D008881!MIR134!0.9995!Association
39412222,MESH:D016472!SVBP!0.9997!Association;MESH:D015419!SVBP!0.9997!Association;MESH:D008607!SVBP!0.9997!Association;MESH:D001072!SVBP!0.9985!Association;MESH:D010523!SVBP!0.9992!Association
39443136,MESH:D001943!CD274!0.9978!Association;MESH:D001943!MINDY1!0.9997!Association
39456191,MESH:D018908!EMC1!0.999!Association;MESH:D015835!EMC1!0.9972!Association;MESH:D028361!EMC1!0.9986!Association
39456238,MESH:D003327!Ank1!0.9993!Association;MESH:D003327!Fbln2!0.9991!Association;MESH:D003327!Emc1!0.9995!Association
39532931,MESH:D008545!Mdk!0.992!Association;MESH:D009369!Tnfaip8l2!0.9958!Association;MESH:D008545!Mapk1!0.9996!Association;MESH:D008545!Tnfaip8l2!0.9921!Negative_Correlation
39570219,MESH:D004387!CSMD2!0.9996!Association;MESH:D004387!WNT7B!0.9996!Association;MESH:D004387!LOXL1!0.9994!Association;MESH:D004387!DUXA!0.9996!Association;MESH:D004387!TACC2!0.9995!Association
39594576,MESH:D006331!ADGRL2!0.6482!Negative_Correlation
39613731,MESH:D009369!NOS1AP!0.8688!Association;MESH:D009369!KANK1!0.9983!Negative_Correlation;MESH:D001943!KANK1!0.6486!Positive_Correlation;MESH:D009369!TAZ!0.9983!Association;MESH:D001943!TAZ!0.9963!Association;MESH:D015674!KANK1!0.9992!Association
39623077,MESH:D064726!GSK3B!0.8448!Association;MESH:D064726!CTNNB1!0.9993!Association
39702250,MESH:D009369!UCHL5!0.9996!Association;MESH:D002583!UCHL5!0.5162!Positive_Correlation;MESH:C563236!UCHL5!0.6858!Positive_Correlation
39798887,MESH:D003865!MIR6835!0.9996!Association;MESH:D003865!CCDC18!0.9996!Association;MESH:D001072!MIR6835!0.9675!Association;MESH:D003865!CCND2!0.9997!Association;MESH:D003865!AAK1!0.9996!Association;MESH:D001072!CCND2!0.9994!Association;MESH:D003865!MIR126!0.9996!Association;MESH:D001072!CCDC18!0.9263!Association
39803480,MESH:D025063!Ago4!0.9608!Association;MESH:D025063!Ago3!0.9106!Association
39847517,MESH:D007249!FCER1A!0.9876!Association;MESH:D009369!DNM3!0.9937!Negative_Correlation;MESH:D010190!DNM3!0.9948!Association
39857904,MESH:D014652!AGO2!0.6733!Association;MESH:D003327!AGO2!0.935!Association;MESH:D014652!AGO4!0.9968!Association;MESH:D009080!AGO2!0.9993!Association;MESH:D003327!AGO4!0.9858!Association;MESH:D009080!AGO4!0.9995!Association
39864538,MESH:D006528!DCLRE1B!0.999!Association;MESH:D009369!DCLRE1B!0.7992!Positive_Correlation
39928200,MESH:D009369!DPH2!0.9987!Association;OMIM:616901!DPH2!0.9996!Association;MESH:D011471!DPH2!0.8412!Association;MESH:D000230!DPH2!0.9991!Association
