pmid,relations
39616448,MESH:D053206!FA2H!0.9996!Association;MESH:D053206!SLC12A3!0.9996!Association;MESH:D053206!SLC25A13!0.9996!Association;MESH:D053206!MLXIPL!0.9996!Association;MESH:D053206!CLCNKB!0.9996!Association;MESH:D053206!AGXT!0.9997!Association;MESH:D053206!DLG3!0.9996!Association;MESH:D053206!SMARCA2!0.9996!Association;MESH:D053206!SLC5A2!0.9996!Association;MESH:D030342!AQP2!0.9996!Association;MESH:D053206!BNC2!0.9996!Association;MESH:D053206!ELN!0.9995!Association;MESH:D053206!AQP2!0.9996!Association;MESH:D053206!KCNJ10!0.9996!Association;MESH:D053206!AVPR2!0.9996!Association;MESH:D018500!AQP2!0.9997!Association;MESH:D053206!HPSE2!0.9996!Association;MESH:D053206!FAM20A!0.9996!Association;MESH:D053206!NPHP3!0.9996!Association;MESH:D053206!FOXP1!0.9996!Association;MESH:D053206!RNF168!0.9996!Association
39619733,MESH:C537799!GORAB!0.9994!Association;MESH:D014188!GORAB!0.825!Association
40205938,MESH:C536198!PLOD1!0.9996!Association;MESH:D009123!PLOD1!0.9135!Association;MESH:D007593!PLOD1!0.9889!Association;MESH:D004535!PLOD1!0.9997!Association;MESH:C565711!PLOD1!0.9937!Association;MESH:C536196!PLOD1!0.7897!Association;MESH:D054119!PLOD1!0.9986!Association
39454878,MESH:D006470!RGS18!0.9997!Association;MESH:D001791!RGS18!0.9995!Association;MESH:D030342!RGS18!0.7128!Association
39867396,MESH:D000544!RGS6!0.9996!Association;MESH:D000544!GDAP2!0.9996!Association;MESH:D000544!PIEZO2!0.7451!Association;MESH:D000544!PSEN1!0.9997!Association;MESH:D000544!ASPSCR1!0.9995!Association
39868816,MESH:D017114!GBP4!0.9996!Association;MESH:D007249!GBP4!0.9997!Association;MESH:D017114!IFNG!0.7507!Association
40207991,MESH:D015179!GALNT2!0.9957!Association;MESH:D015179!FUT8!0.9994!Association;MESH:D015179!FUT2!0.7238!Association;MESH:D015179!B4GALT5!0.9984!Association;MESH:D015179!GALNT6!0.9967!Association
39877340,MESH:D016104!NPHP4!0.9997!Association;MESH:D012779!WDR35!0.9997!Association;MESH:D007674!NPHP4!0.9997!Association;MESH:D017689!WDR35!0.9997!Association;MESH:D012779!NPHP4!0.9991!Association;MESH:D007674!WDR35!0.765!Association;MESH:D016104!WDR35!0.9851!Association
35704118,MESH:D015419!MYO1H!0.9996!Association;MESH:D015419!ZFYVE27!0.9996!Association;MESH:D015419!MYO1H!0.9922!Association
37614503,MESH:D002583!HLA-A!0.982!Negative_Correlation;MESH:D002583!HLA-DQB1!0.982!Negative_Correlation
39720179,MESH:D000014!UBAP2L!0.9889!Association;MESH:D001523!UBAP2L!0.6582!Association;MESH:D012640!UBAP2L!0.9852!Association;MESH:D019066!UBAP2L!0.9987!Association;MESH:D007806!UBAP2L!0.9937!Association;MESH:D002658!UBAP2L!0.9994!Association;MESH:D008607!UBAP2L!0.9978!Association;MESH:D007153!UBAP2L!0.5625!Association
39937421,MESH:D020521!NAXE!0.9996!Association;MESH:D012640!NAXE!0.9861!Association;MESH:D001927!NAXE!0.9996!Association;MESH:D020274!NAXE!0.9995!Association;MESH:D003643!NAXE!0.9996!Association;MESH:C538352!NAXE!0.7776!Association;MESH:D002493!NAXE!0.9997!Association;MESH:D012131!NAXE!0.9945!Association;MESH:D007249!NAXE!0.9701!Association
