gene,disease,score,association,pmid
GSTM5,MESH:D016403,0.519,Association,40029433
NOC2L,MESH:D010051,0.986,Positive_Correlation,40036166
FAM72A,MESH:D006528,1.0,Association,40081285
FAM72A,MESH:D009362,0.543,Positive_Correlation,40081285
S100A12,MESH:D003324,0.999,Association,40093223
MRPS15,MESH:D000077192,1.0,Association,40097569
JUN,MESH:D000077192,0.978,Association,40097569
RUNX3,MESH:D000077192,0.999,Association,40097569
TMOD4,MESH:D006528,0.998,Association,40097750
ANGPTL1,MESH:D020181,0.69,Association,40118992
FCER1G,MESH:D020181,1.0,Association,40118992
PSMB2,MESH:D014947,1.0,Association,40143635
LINC00339,MESH:D000860,0.86,Association,40143635
PSMB2,MESH:D000860,0.998,Association,40143635
ILF2,MESH:D000077195,0.963,Association,"39917898,40176914"
LCK,MESH:D007822,1.0,Association,40183093
TGFB2,MESH:D007822,0.99,Association,40183093
RPL5,MESH:D061325,0.993,Association,40185360
RPL5,MESH:D009369,1.0,Association,40185360
Nipal3,MESH:D006969,1.0,Association,19738379
Nipal3,MESH:D003072,0.999,Association,19738379
NIPAL3,MESH:D006969,0.998,Association,19738379
RALGPS2,MESH:D008175,1.0,Association,27149377
RALGPS2,MESH:D002289,0.999,Association,27149377
BNIPL,MESH:D000860,0.999,Negative_Correlation,31221064
TXNIP,MESH:D000860,0.928,Negative_Correlation,31221064
EGLN1,MESH:D000860,0.998,Negative_Correlation,31221064
SCARNA1,MESH:D013771,0.525,Association,31953571
SCARNA1,MESH:D006330,0.999,Association,31953571
NFIA-AS2,MESH:D005910,0.946,Association,32779154
LINC01132,MESH:D000077216,0.959,Association,34132375
LINC01132,MESH:D009369,0.985,Association,"34132375,38403680"
LINC01132,MESH:D010554,0.999,Association,34132375
S100PBP,MESH:D007239,0.999,Association,34555028
TSEN15,MESH:C580383,0.999,Association,34964109
EBNA1BP2,MESH:D014820,0.997,Association,35535201
UQCRH,MESH:D014820,0.999,Association,35535201
MIR1290,MESH:D005909,0.842,Association,35706804
RNF11,MESH:D005909,1.0,Association,35706804
PAQR6,MESH:D007249,0.999,Association,35768415
TPM3,MESH:D009369,0.712,Association,35977594
TPM3,MESH:D015179,1.0,Association,35977594
CHRM3,MESH:D010195,0.999,Association,36052691
MIR200B,MESH:D010195,0.999,Association,36052691
NPL,MESH:D010195,0.974,Association,36052691
MIR200A,MESH:D010195,0.999,Association,36052691
MIR29C,MESH:D009461,0.999,Association,36277485
YIPF1,MESH:C535739,1.0,Association,36340761
PBX1,MESH:D013345,0.703,Association,36340761
PBX1,MESH:C535739,1.0,Association,36340761
PAQR6,MESH:D000544,1.0,Association,36544231
